passage_id,source_id,review_round,paragraph_no,topic,content_zh,content_en,related_articles,related_pi,fulfillment_status,last_assessed_date
CO-2017-edu-001,src-2017-co-ch,1,TBD,§24 融合教育推進不足,（2017 結論性意見摘要）國際審查委員會關切融合教育推進緩慢，特殊教育學生大多仍在隔離環境中受教育，建議積極推動 §24 第 4 號一般性意見之全面融合方向。,,"A24,GC4","PI-12,PI-10",partial,2026-05-01
CO-2017-edu-002,src-2017-co-ch,1,TBD,§24 個別化教育計畫品質不足,（2017 結論性意見摘要）建議提升個別化教育計畫（IEP）品質，並對教師進行融合教育與合理調整之培訓。,,A24,"PI-12,PI-14",partial,2026-05-01
CO-2022-edu-95,src-2022-co-tc,2,95,§24 融合教育多項關切,國際審查委員會對以下情形表示關切：(a) 國家對融合教育的定義呈現混淆，誤認為融合教育只針對身心障礙學生，特別提倡統合而不是融合。(b) 就高中以下的身心障礙學生在一般學校／普通班級就讀的比例而言，融合教育的進展緩慢。(c) 特殊教育人員與普通教育人員均尚未準備好教導多元的學習者。(d) 合理調整的概念尚未被理解。(e) 為了讓孩子上學，家庭需要支付支持服務費用。(f) 偏遠地區兒童獲得融合教育的機會有限。(g) 學校經常對身心障礙兒童採取訓斥、要求父母在課堂上陪同等措施。,,"A24,GC4","PI-12,PI-10,PI-14",pending,2026-05-01
CO-2022-edu-96,src-2022-co-tc,2,96,§24 融合教育建議,國際審查委員會建議國家：(a) 促進融合教育，確保所有學習者在同一系統內充分參與，以符合 §24 第 4 號一般性意見。(b) 將促進融合性教育的責任從特殊教育轉移到普通教育。(c) 提高普通教育教師、特殊教育教師之融合能力，將培訓重點從身心障礙議題轉向通用學習設計。(d) 移除父母支持身心障礙兒童在學校的所有責任。(e) 將身心障礙議題納入十二年國民基本教育課程綱要。(f) 確保少年矯正學校和安置機構中的身心障礙兒童接受教育。,,"A24,GC4","PI-12,PI-13,PI-14",pending,2026-05-01
CO-2017-emp-001,src-2017-co-ch,1,TBD,§27 就業歧視與勞動參與率落差,（2017 結論性意見摘要）國際審查委員會關切身心障礙者勞動參與率與一般人差距甚大、定額進用罰鍰結餘多但實際進用率不足、庇護工場過渡至開放勞動市場機制不健全。建議改革定額進用稽核與支持就業制度。,,A27,PI-09,partial,2026-05-01
CO-2022-emp-101,src-2022-co-tc,2,101,§27 就業歧視與庇護工場剝削,國際審查委員會對以下情形表示關切：(a) 2016 年 12 月身心障礙者勞動力參與率為 20.4%，2019 年 5 月為 20.7%。沒有國家策略來增加身心障礙者，特別是身心障礙婦女，在勞動市場上的人數。(b) 身心障礙者經常因基於身心障礙的歧視而被拒絕就業。尚無有效的法律規範禁止雇主拒絕為身心障礙者提供合理調整。(c) 尚無有效的法制針對職場中基於身心障礙的歧視，提供救濟措施。(d) 態度上的阻礙使雇主不敢僱用身心障礙者。心理社會障礙者經常因偏見而被拒之門外。(e) 身心障礙者繼續在『庇護工場』中從事象徵性的經濟活動，從事重複性的工作，依其產能領取象徵性工資。許多庇護工場中的身心障礙者未受培訓或轉入開放的勞動市場，而被困於此剝削性的體系中。庇護工場鼓勵基於身心障礙因素的隔離勞動市場，這本身就是一種歧視。(f) 缺乏身心障礙者職業和專業訓練的資訊。,,A27,PI-09,pending,2026-05-01
CO-2022-emp-102,src-2022-co-tc,2,102,§27 就業權建議,國際審查委員會建議國家：(a) 制定策略以提高身心障礙者，包括心理社會障礙者和心智障礙者的勞動力參與率。(b) 為目前在庇護工場工作的每位身心障礙者制定行動計畫，以支持其能在勞動市場獲得工作。**制定逐步淘汰庇護工場的策略**。(c) 立法禁止雇主任何基於身心障礙的歧視，包括拒絕提供合理調整。(d) 建立一個有效且無障礙的法院或法庭系統，讓自認遭遇工作歧視的身心障礙者尋求和獲得救濟。(e) 改善對心理社會障礙者的職業重建和就業協助的有效性。,,A27,PI-09,pending,2026-05-01
CO-2017-lc-001,src-2017-co-ch,1,TBD,§12 監護宣告制度與支持式決策,（2017 結論性意見摘要）國際審查委員會關切現行監護宣告制度與 §12 之衝突，建議朝向支持式決策（supported decision-making）改革。,,A12,PI-15,partial,2026-05-01
CO-2022-lc-62,src-2022-co-tc,2,62,§12 法律能力多項關切,國際審查委員會對以下情形表示關切：(a) 尚未從替代性決策轉向尊重個人意願與偏好的支持性決策。(b) 監禁可能有傷害自己或他人之虞、經起訴或經審判定罪的身心障礙者。(c) 沒有確保身心障礙者在所有金融事項上不受歧視。(d) 金融服務部門的規範和培訓缺乏監督制度。(e) 要求有血緣關係的親屬簽字授權，病人才能從其自願住院的精神醫療機構出院。,,"A12,GC1",PI-15,pending,2026-05-01
CO-2022-lc-63,src-2022-co-tc,2,63,§12 法律能力建議,國際審查委員會建議國家：(a) **建立強而有力的系統，使支持性決策取代目前的監護制度**；(b) 改善司法從業人員的培訓，以克服『最佳利益』原則的應用，並以 CRPD 第 1 號一般性意見（2014）中所提到『尊重個人意願與偏好』取代之；(c) 修正精神衛生法，刪除有關延長留置可能傷害自己或他人之虞、經起訴或經審判定罪的身心障礙者的規定；(d) 修正刑法第 87 條有關延長監護期間的規定；(e) 要求金融機構消除對身心障礙者一切形式的歧視；(f) 廢除精神醫療機構自願住院者的出院須有親屬同意授權的規定。,,"A12,GC1",PI-15,pending,2026-05-01
