commitment_id,date,agency_id,source_type,source_url,related_co_passage_id,commitment_text_zh,target_completion_date,budget_committed,budget_unit,related_pi,related_articles,status,notes
CM-moe-2018-edu,2018-06,moe_sed,national_report,https://crpd.sfaa.gov.tw/...follow_up_2018,CO-2017-edu-001,（2017 後續回應）教育部承諾：增加融合教育師資培訓、提升個別化教育計畫品質、增加普通班資源班配比。,2022-12,,TWD,PI-12,A24,committed,
CM-moe-2022-edu,2022-12,moe_sed,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-edu-96,（第二次審查問題清單回應）教育部承諾：(1) 修訂特教法朝融合方向 (2) 推動通用學習設計 (3) 強化教師融合教育培訓 (4) 評估特教學校未來定位。,2026-12,,TWD,PI-12,A24,committed,
CM-mol-2022-emp,2022-12,mol_wda,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-emp-102,（第二次審查問題清單回應）勞動部承諾：(1) 持續推動定額進用 (2) 強化支持就業服務 (3) 改善庇護工場轉銜機制 (4) 修法強化反歧視保障。對「逐步淘汰庇護工場」之 CO 建議採保留立場。,2027-12,,TWD,PI-09,A27,partially_committed,
CM-judicial-2022-lc,2022-12,judicial,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-lc-63,（第二次審查問題清單回應）司法院 + 衛福部承諾：(1) 推動支持式決策試辦計畫 (2) 改善司法人員 CRPD 培訓 (3) 修正精神衛生法 (4) 對全面廢除監護宣告採保留立場，採漸進改革路徑。,2027-12,,TWD,PI-15,A12,partially_committed,
CM-moe-2022-special-school,2022-12,moe_sed,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-special-school-96b,（LOI 回應）教育部：保留特教學校但提升品質、強化普通班特教資源、不採全面 phase-out。,2027-12,,TWD,PI-13,A24,partially_committed,
CM-moe-2022-bully,2022-12,moe_sed,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-bully-95g,（LOI 回應）教育部承諾：強化校園身障兒少安全保障、教師專業培訓、檢討校安通報之身障學生處置 SOP。,2026-12,,TWD,PI-14,"A7,A16,A24",committed,
CM-mohw-2022-medicalization,2022-12,mohw,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-med-70,（LOI 回應）衛福部承諾：強化心智障礙者司法支持、改善精神醫療機構處遇。對 ADHD / 自閉症兒少診斷率與用藥率資料公開採保留立場（隱私考量）。,2027-12,,TWD,PI-16,"A1,A14",partially_committed,
CM-exec-2022-overall,2022-12,exec_yuan,loi_response,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,CO-2022-overall,（LOI 回應）行政院承諾持續推動 CRPD 全面實施，含修正《身權法》、強化跨部會協調、增加 DPO 參與。,2027-12,,TWD,PI-01,A4,committed,
CM-exec-2022-nap,2022-12,exec_yuan,loi_response,,CO-2022-nap,（LOI）行政院承諾發展身障策略草案。,2026-12,,TWD,PI-05,A4,committed,
CM-nhrc-2022,2022-12,nhrc,minister_statement,https://nhrc.cy.gov.tw/cp.aspx?n=8683,CO-2022-nhrc,（NHRC）承諾建立 CRPD 年度監督報告制度。,2026-12,,TWD,PI-06,A33,committed,
CM-mohw-2022-caregiver,2022-12,mohw,loi_response,,CO-2022-caregiver,（LOI）衛福部承諾擴大喘息服務、個人助理員制度。,2026-12,,TWD,PI-11,A19,committed,
