indicator_id,year,value,unit,source_id,notes
disab_total,2014,1133133.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2015,1149691.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2016,1170199.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2017,1170822.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2018,1180000.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2019,1186740.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2020,1198590.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2021,1199500.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2022,1208000.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2023,1212000.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_total,2024,1220000.0,人,,"衛福部統計處身障人口年度公布,以年底數為準"
disab_ratio,2014,4.83,%,,身障人口 / 全國總人口
disab_ratio,2015,4.89,%,,身障人口 / 全國總人口
disab_ratio,2016,4.97,%,,身障人口 / 全國總人口
disab_ratio,2017,4.97,%,,身障人口 / 全國總人口
disab_ratio,2018,5.0,%,,身障人口 / 全國總人口
disab_ratio,2019,5.04,%,,身障人口 / 全國總人口
disab_ratio,2020,5.08,%,,身障人口 / 全國總人口
disab_ratio,2021,5.11,%,,身障人口 / 全國總人口
disab_ratio,2022,5.16,%,,身障人口 / 全國總人口
disab_ratio,2023,5.18,%,,身障人口 / 全國總人口
disab_ratio,2024,5.21,%,,身障人口 / 全國總人口
disab_emp_rate,2014,19.7,%,,"身心障礙者勞動狀況調查,3-4 年一次。CO 第二次審查 §101(a) 點名 12 年成長僅 1.2%"
disab_emp_rate,2016,20.4,%,,"身心障礙者勞動狀況調查,3-4 年一次。CO 第二次審查 §101(a) 點名 12 年成長僅 1.2%"
disab_emp_rate,2019,20.7,%,,"身心障礙者勞動狀況調查,3-4 年一次。CO 第二次審查 §101(a) 點名 12 年成長僅 1.2%"
disab_emp_rate,2022,20.9,%,,"身心障礙者勞動狀況調查,3-4 年一次。CO 第二次審查 §101(a) 點名 12 年成長僅 1.2%"
disab_unemp_rate,2014,11.0,%,,身心障礙者失業率(較一般失業率高 1.5-2 倍)
disab_unemp_rate,2016,9.5,%,,身心障礙者失業率(較一般失業率高 1.5-2 倍)
disab_unemp_rate,2019,8.6,%,,身心障礙者失業率(較一般失業率高 1.5-2 倍)
disab_unemp_rate,2022,7.8,%,,身心障礙者失業率(較一般失業率高 1.5-2 倍)
gen_emp_rate,2014,58.5,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2015,58.7,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2016,58.7,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2017,58.8,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2018,58.8,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2019,59.2,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2020,59.1,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2021,59.0,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2022,59.4,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2023,59.2,%,,全體 15 歲以上人口勞動參與率
gen_emp_rate,2024,59.0,%,,全體 15 歲以上人口勞動參與率
special_edu_total,2014,113000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2015,116000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2016,119000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2017,122000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2018,125000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2019,128000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2020,132000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2021,135000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2022,137000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2023,142000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_total,2024,147000.0,人,,"特殊教育學生總人數(高中以下,含資優、身心障礙)"
special_edu_inclusive,2014,78000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2015,81000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2016,84000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2017,87000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2018,91000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2019,95000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2020,99000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2021,102000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2022,106000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2023,112000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_inclusive,2024,117000.0,人,,普通班接受特教服務之身心障礙學生(融合教育推進指標)
special_edu_resource,2014,19000.0,人,,資源班學生數(身心障礙類)
special_edu_resource,2017,20500.0,人,,資源班學生數(身心障礙類)
special_edu_resource,2020,22000.0,人,,資源班學生數(身心障礙類)
special_edu_resource,2024,23500.0,人,,資源班學生數(身心障礙類)
special_edu_self_contained,2014,9800.0,人,,特教班(集中式特殊教育班)學生數
special_edu_self_contained,2017,9200.0,人,,特教班(集中式特殊教育班)學生數
special_edu_self_contained,2020,8400.0,人,,特教班(集中式特殊教育班)學生數
special_edu_self_contained,2024,7800.0,人,,特教班(集中式特殊教育班)學生數
special_edu_school,2014,6400.0,人,,特教學校學生數(全臺 27 校)
special_edu_school,2017,6500.0,人,,特教學校學生數(全臺 27 校)
special_edu_school,2020,6700.0,人,,特教學校學生數(全臺 27 校)
special_edu_school,2024,6800.0,人,,特教學校學生數(全臺 27 校)
caregiver_burden,2017,32.5,分,,"Zarit 照顧負荷量表分數(0-48,愈高愈重),取年度全國抽樣中位數"
caregiver_burden,2019,33.8,分,,"Zarit 照顧負荷量表分數(0-48,愈高愈重),取年度全國抽樣中位數"
caregiver_burden,2021,34.5,分,,"Zarit 照顧負荷量表分數(0-48,愈高愈重),取年度全國抽樣中位數"
caregiver_burden,2023,35.2,分,,"Zarit 照顧負荷量表分數(0-48,愈高愈重),取年度全國抽樣中位數"
caregiver_resign_rate,2017,23.5,%,,家庭照顧者因照顧而離職比例(身障家屬部分)
caregiver_resign_rate,2019,22.8,%,,家庭照顧者因照顧而離職比例(身障家屬部分)
caregiver_resign_rate,2021,22.0,%,,家庭照顧者因照顧而離職比例(身障家屬部分)
