source_id,title,source_url,archive_url,license,language,hash,ocr_status,related_pi,quotability,privacy,ingested_date
src-2017-co-ch,CRPD 第一次審查結論性意見（2017）中文,https://covenantswatch.org.tw/wp-content/uploads/2018/12/2017-CRPD-CORs_CH.pdf,,公開政府文件 / 人約盟翻譯,zh-TW,sha256:90f15178a53e74a9,complete,"PI-01,PI-02,PI-03,PI-12,PI-15",1,public,2026-05-01
src-2017-state-ch,CRPD 初次國家報告（2016 提交）中文,https://covenantswatch.org.tw/wp-content/uploads/2018/12/2017-CRPD-State-Report_CH.pdf,,政府公開文件,zh-TW,sha256:e1677e5169baef10,complete,"PI-01,PI-05,PI-07",1,public,2026-05-01
src-2017-shadow-cw-ch,2017 CRPD 平行報告（人約盟）中文,https://covenantswatch.org.tw/wp-content/uploads/2018/12/2017-CRPD-State-Report-Parallel-Report_CH.pdf,,人約盟公開,zh-TW,sha256:d19185ffc0920137,complete,"PI-01,PI-02,PI-12,PI-15",1,public,2026-05-01
src-2022-co-tc,CRPD 第二次審查結論性意見（2022）中文,https://covenantswatch.org.tw/wp-content/uploads/2015/12/CRPD_2th_CORs_TC.pdf,,公開政府文件 / 人約盟翻譯,zh-TW,sha256:8ad1e6fb71277ba7,complete,"PI-01,PI-02,PI-12,PI-15,PI-16",1,public,2026-05-01
src-2022-shadow-22ngos,2022 CRPD 議題清單回覆（人約盟總協調 22 團體共同提交）中文,https://covenantswatch.org.tw/wp-content/uploads/2015/12/220630_CRPD-議題清單回覆_人約盟總協調_22團體共同提交_中文.pdf,,人約盟公開,zh-TW,sha256:390cf1c7e5bf6d41,complete,"PI-01,PI-02,PI-12,PI-15,PI-16",1,public,2026-05-01
src-2022-gov-response,CRPD 第二次國家報告問題清單及政府機關回應（中英定稿）,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約（CRPD）第二次國家報告國際審查會-問題清單及政府機關回應.pdf,,政府公開文件,zh-TW;en,sha256:58f4cf547cfc0c4a,complete,"PI-01,PI-02,PI-05,PI-07,PI-09,PI-10,PI-12,PI-15",1,public,2026-05-01
src-2022-nhrc-parallel,2022 國家人權委員會 CRPD 第二次審查問題清單之平行回覆,https://covenantswatch.org.tw/wp-content/uploads/2015/12/CRPD_2th_LOIs_PR_NHRC_TC.pdf,,NHRC 公開文件,zh-TW,sha256:7572ea8c412aeebc,complete,"PI-01,PI-06",1,public,2026-05-01
src-2022-loi-questions,2022 CRPD 第二次國家報告問題清單（中譯版）,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約CRPD第二次國家報告問題清單-中譯版.pdf,,公開文件,zh-TW,sha256:c61b5fa74a3fa38f,complete,"PI-01,PI-02",1,public,2026-05-01
src-2017-followup,CRPD 初次國家報告國際審查結論性意見回應表（2017 後續回應）,https://covenantswatch.org.tw/wp-content/uploads/2020/01/身心障礙者權利公約初次國家報告國際審查結論性意見回應表.pdf,,政府公開文件,zh-TW,sha256:86a164ed46654e43,complete,"PI-01,PI-02,PI-05",1,public,2026-05-01
src-2017-loi-replies,2017 CRPD 初次國家報告問題清單暨政府回覆（中英對照）,https://covenantswatch.org.tw/wp-content/uploads/2018/12/2017-CRPD-Replies-to-LOIs_Bilingual.pdf,,政府公開文件,zh-TW;en,sha256:fd449ec2426d9747,complete,"PI-01,PI-02",1,public,2026-05-01
src-2022-state-attachment,CRPD 第二次國家報告條約專要文件附件,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約第二次國家報告條約專要文件附件.pdf,,政府公開文件,zh-TW,sha256:2b6d641f8f0cb001,complete,"PI-01,PI-05,PI-07,PI-08,PI-09,PI-10,PI-11",1,public,2026-05-01
src-2022-state-ch,CRPD 第二次國家報告條約專要文件,https://covenantswatch.org.tw/wp-content/uploads/2015/12/身心障礙者權利公約第二次國家報告條約專要文件.pdf,,政府公開文件,zh-TW,sha256:08b27bfc43962232,complete,"PI-01,PI-05,PI-07,PI-08,PI-09,PI-10,PI-11,PI-12,PI-13,PI-14,PI-15,PI-16",1,public,2026-05-01
