id,title,axis,status,red_line,parent_id,axis4_review_status,deprecated,created_at,last_updated
PI-01,第一次（2017）+ 第二次（2022）審查總體對照,1,scaffold,0,,not_started,0,2026-05-01,
PI-02,12 年來重大未兌現 CO 條目盤點,1,scaffold,0,,not_started,0,2026-05-01,
PI-03,第三次審查（2027 預定）籌備與民間影子報告動員,1,scaffold,0,,not_started,0,2026-05-01,
PI-04,6 國 CRPD 施行法對照 + 雙面 Steelman,1,scaffold,0,,not_started,0,2026-05-01,
PI-05,身障權利行動方案 / 政策白皮書追蹤,2,scaffold,0,,not_started,0,2026-05-01,
PI-06,NHRC 對 CRPD 之監督報告,2,scaffold,0,,not_started,0,2026-05-01,
PI-07,身障預算配置（4 部會）,2,scaffold,0,,not_started,0,2026-05-01,
PI-08,身障人口結構（總人數、障別、年齡）,3,scaffold,0,,not_started,0,2026-05-01,
PI-09,身障就業率 vs 一般就業率落差,3,scaffold,0,,not_started,0,2026-05-01,
PI-10,特殊教育學生人數 / 安置型態,3,scaffold,0,,not_started,0,2026-05-01,
PI-11,身障家庭照顧者經濟與心理負荷,3,scaffold,0,,not_started,0,2026-05-01,
PI-12,CRPD §24 教育權單向解讀爭議,4,scaffold,1,,not_started,0,2026-05-01,
PI-13,特教學校存續與家長選擇權國際比較,4,scaffold,1,,not_started,0,2026-05-01,
PI-14,身障兒少校園霸凌與融合下支持不足,4,scaffold,1,,not_started,0,2026-05-01,
PI-15,CRPD §12 法律能力與家長監護權平衡,4,scaffold,1,,not_started,0,2026-05-01,
PI-16,身障診斷工具化與兒少醫療化爭議,4,scaffold,1,,not_started,0,2026-05-01,
